,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
63,Linen Signature Shorts,{'Organic Linen': '100%'},undyed,"('AUD', '220')",https://abch.world/products/womens-organic-signature-shorts-flax,https://cdn.shopify.com/s/files/1/1637/8509/products/A13-Zero-Waste-Crop-Sweater-Peach-Front-Full-3_ccd44d91-ea54-4f82-91de-49ce26f5a381.jpg?v=1601517044,A.BCH,"[""Signature shorts in flax (that's linen, for the layman) are a structured cut with paper-bag style elastic waist, mock fly front and deep pockets. Featuring white stitching and A.16 label sitting proudly on the rear left. Un-dyed (unbelievable), the flax colour is 100% au natural with a structured drape.""]",['shorts']
64,Linen Signature Shorts,{'Organic Linen': '100%'},undyed,"('AUD', '220')",https://abch.world/products/unisex-organic-signature-shorts-flax,https://cdn.shopify.com/s/files/1/1637/8509/products/A04-Mens-Black-Long-Linen-Shirt-Front-2.jpg?v=1601517096,A.BCH,"[""Signature shorts in flax (that's linen, for the layman) are a structured cut with paper-bag style elastic waist, mock fly front and deep pockets. Featuring white stitching and A.16 label sitting proudly on the rear left. Un-dyed (unbelievable), the flax colour is 100% au natural with a structured drape.""]",['shorts']
65,Cropped Zero Waste Sweater,{'Organic Cotton': '100%'},peach,"('AUD', '325')",https://abch.world/products/peach-sweater-tee-zero-waste-crop,https://cdn.shopify.com/s/files/1/1637/8509/products/A13-Rosewater-Crop-A28-Relaxed-Shorts-Front-CroppedSML.jpg?v=1601548894,A.BCH,"['The best of Japanese tech on Australian soil, 3D knitted using natural-dyed, organic cotton yarns, the A.13 Crop is an understated drapey staple. The dyes used on these organic yarns are all sourced from varying natural minerals, so the result is a beautiful soft rosewater colour without the use of toxic chemicals.']",['sweater']
66,Cropped Zero Waste Sweater,{'Organic Cotton': '100%'},stone,"('AUD', '325')",https://abch.world/products/grey-sweater-tee-zero-waste-crop,https://cdn.shopify.com/s/files/1/1637/8509/products/A13-Stone-Crop_A32-Jogger-OC-Terry-Front-cropped.jpg?v=1601548636,portrait-large,"['The best of Japanese tech on Australian soil, 3D knitted using natural-dyed, organic cotton yarns, the A.13 Crop Sweater is an understated drapey staple. The dyes used on these organic yarns are all sourced from varying natural minerals, so the result is a beautiful marle effect without the use of toxic chemicals.']",['sweater']
67,Raw Denim Tote Bag,{'Organic Cotton': '100%'},dark indigo,"('AUD', '85')",https://abch.world/products/extra-large-organic-denim-tote,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A17_M_XL_tote_denim.jpg?v=1601516996,portrait-large,"['Super sturdy, XL raw (unwashed/ untreated) denim tote bag with crisp white signature A.BCH A.17 print on one side. Featuring an internal pocket, long straps and plenty of room to carry.']",['bag']
68,Raw Denim Signature Shorts,{'Organic Cotton': '100%'},dark indigo,"('AUD', '195')",https://abch.world/products/unisex-raw-denim-signature-shorts,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A16_Shorts_Denim_Front.jpg?v=1601517159,A.BCH,"['Denim, like cookie dough, is best served raw. Un-washed and untreated to minimise industrial water usage, the signature shorts are a structured cut with a paper bag style waist, mock fly front and real (deep) pockets. Featuring contrast stitching and an A.16 label sitting proudly on the rear left. Wash before wear to avoid dye transfer.']",['shorts']
69,Raw Denim Signature Shorts,{'Organic Cotton': '100%'},dark indigo,"('AUD', '195')",https://abch.world/products/signature-shorts-in-raw-denim,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A16_M_Shorts_Denim_detail.jpg?v=1601517206,A.BCH,"['Denim, like cookie dough, is best served raw. Un-washed and untreated to minimise industrial water usage, the signature shorts are a structured cut with a paper bag style waist, mock fly front and real (deep) pockets. Featuring contrast stitching and an A.16 label sitting proudly on the rear left. Wash before wear to avoid dye transfer.']",['shorts']
70,Classic Crop T-shirt,{'Organic Cotton': '100%'},white,"('AUD', '75')",https://abch.world/products/organic-cotton-white-classic-crop-tee,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A15_White_Cropped_Tshirt_Back_79b62576-b481-4863-86b6-432d335a037b.jpg?v=1611363181,portrait-large,"[""A cropped take on a classic, featuring a relaxed, vintage style neck rib and comfy fit in optic white. If you'd rather wear your heart on your sleeve (or the A.BCH logo on your chest) check out the A.15 Fan Tee.""]",['t-shirt']
71,Classic Crop T-shirt,{'Organic Cotton': '100%'},grey marle,"('AUD', '75')",https://abch.world/products/organic-cotton-grey-cropped-tshirt,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A15_Grey_Cropped_Tshirt_34.jpg?v=1601519435,A.BCH,"[""A cropped take on a classic, featuring a relaxed, vintage style neck rib and comfy fit in grey marle. If you'd rather wear your heart on your sleeve (or the A.BCH logo on your chest) check out the A.15 Fan Tee.""]",['t-shirt']
72,Unisex Classic T-shirt,{'Organic Cotton': '100%'},white,"('AUD', '75')",https://abch.world/products/white-organic-cotton-classic-tshirt,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A15_white_Classic_W_Tshirt_34.jpg?v=1601519144,portrait-large,"[""The new classic. A standard fit with relaxed, vintage style neck rib in optic white. If you'd rather wear your heart on your sleeve (or the A.BCH logo on your chest) check out the A.15 Fan Tee.""]",['t-shirt']
73,Unisex Classic T-shirt,{'Organic Cotton': '100%'},white,"('AUD', '75')",https://abch.world/products/organic-cotton-white-classic-tshirt,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH_A15_white_Classic_Tshirt_front-close.jpg?v=1601519222,A.BCH,"[""The new classic. A standard fit with relaxed, vintage style neck rib in optic white. If you'd rather wear your heart on your sleeve (or the A.BCH logo on your chest) check out the A.15 Fan Tee.""]",['t-shirt']
74,Unisex Classic T-shirt,{'Organic Cotton': '100%'},grey marle,"('AUD', '75')",https://abch.world/products/unisex-grey-organic-cotton-classic-tshirt,https://cdn.shopify.com/s/files/1/1637/8509/products/A15_Grey_Classic_Tee_Side_Unisexjpg.jpg?v=1601519539,A.BCH,"[""The new classic. A standard fit with relaxed, vintage style neck rib in grey marle. If you'd rather wear your heart on your sleeve (or the A.BCH logo on your chest) check out the A.15 Fan Tee.""]",['t-shirt']
