,Unnamed: 0,index,Name,Price,URL,Colors,Image,Materials,Description,Brand_name,high-level,category
35,35,35,COYUCA SWEATSHIRT MAN,£89.90,https://ecoalf.com/en/sweaters/2020328-20661-coyuca-sweatshirt-man#/4-talla-xs,['caviar'],https://ecoalf.com/16752-large_default/coyuca-sweatshirt-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']",Men’s sweatshirt with crew neck and Ecoalf logo on the front. Made with organic cotton and recycled cotton.,Ecoalf,1,1
36,36,36,CASTELO T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020373-20917-castelo-t-shirt-man#/4-talla-xs,"['khaki', 'aquablue', 'caviar']",https://ecoalf.com/16394-large_default/castelo-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt with long sleeves and crew neck. Text on the front: ""Because there is no Planet B"".",Ecoalf,1,1
37,37,37,IZABAL T-SHIRT MAN,£54.99,https://ecoalf.com/en/shirts-and-t-shirts/2020384-20976-izabal-t-shirt-man#/4-talla-xs,['caviar'],https://ecoalf.com/16002-large_default/izabal-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt with short sleeves, crew neck and pocket. Made with recycled cotton and cotton from responsible sources.",Ecoalf,1,1
38,38,38,LONG SLEEVE MATEO T-SHIRT MAN,£49.90,https://ecoalf.com/en/shirts-and-t-shirts/2020385-20982-long-sleeve-mateo-t-shirt-man#/4-talla-xs,['koreangreen'],https://ecoalf.com/15346-large_default/long-sleeve-mateo-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt with long sleeves, crew neck, text ""Because there is no Planet B” on the front and image on the back. Made with recycled cotton and cotton from responsible sources.",Ecoalf,1,1
39,39,39,MADIORE T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020389-21006-madiore-t-shirt-man#/4-talla-xs,['caviar'],https://ecoalf.com/15978-large_default/madiore-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt with short sleeves, crew neck, image and text: ""Because there is no Planet B"". Made with recycled cotton and cotton from responsible sources.",Ecoalf,1,1
40,40,40,NATAL CLASSIC BECAUSE T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020390-21012-natal-classic-because-t-shirt-man#/4-talla-xs,"['offwhite', 'navy', 'burnedorange', 'caviar']",https://ecoalf.com/16050-large_default/natal-classic-because-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt, crew neck, short sleeves and text on the front: ""Because there is no Planet B"".",Ecoalf,1,1
41,41,41,NATAL GREAT B T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020394-21036-natal-great-b-t-shirt-man#/4-talla-xs,"['white', 'koreangreen', 'navy', 'caviar']",https://ecoalf.com/16235-large_default/natal-great-b-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt, crew neck, short sleeves and text on the front: ""Because there is no Planet B"".",Ecoalf,1,1
42,42,42,NATAL PATCH ECOALF T-SHIRT MAN,£49.90,https://ecoalf.com/en/shirts-and-t-shirts/2020398-21060-natal-patch-ecoalf-t-shirt-man#/4-talla-xs,"['white', 'koreangreen', 'navy', 'caviar']",https://ecoalf.com/16378-large_default/natal-patch-ecoalf-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt, crew neck, short sleeves and text on the front.",Ecoalf,1,1
43,43,43,TABOLA T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020404-21094-tabola-t-shirt-man#/4-talla-xs,"['khaki', 'navy', 'caviar', 'greymelange']",https://ecoalf.com/17783-large_default/tabola-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt with short sleeves, crew neck and Ecoalf logo.",Ecoalf,1,1
44,44,44,TADEO T-SHIRT MAN,£45.00,https://ecoalf.com/en/shirts-and-t-shirts/2020408-21118-tadeo-t-shirt-man#/4-talla-xs,"['white', 'navy', 'greymelange']",https://ecoalf.com/16833-large_default/tadeo-t-shirt-man.jpg,"['60% Cotton ', ' 40% Recycled cotton']","Men’s t-shirt, long sleeves, crew neck and text: ""Act now!"".",Ecoalf,1,1
